date,exercise,sets,reps,weight_kg,duration_min,calories,muscle_group
2026-01-01,Bench Press,3,10,60.0,45,320,Chest
2026-01-01,Squat,3,8,80.0,45,320,Legs
2026-01-03,Deadlift,3,5,100.0,50,380,Back
2026-01-03,Pull Up,3,8,0.0,50,380,Back
2026-01-05,Bench Press,3,10,62.5,45,325,Chest
2026-01-05,Overhead Press,3,8,40.0,45,325,Shoulders
2026-01-08,Squat,3,8,82.5,50,360,Legs
2026-01-08,Leg Press,3,12,120.0,50,360,Legs
2026-01-10,Deadlift,3,5,105.0,50,390,Back
2026-01-10,Bent Over Row,3,10,60.0,50,390,Back
2026-01-12,Bench Press,3,10,65.0,45,330,Chest
2026-01-12,Dumbbell Fly,3,12,20.0,45,330,Chest
2026-01-15,Squat,4,8,85.0,55,400,Legs
2026-01-15,Lunges,3,12,30.0,55,400,Legs
2026-01-17,Deadlift,3,5,107.5,50,395,Back
2026-01-17,Pull Up,4,8,0.0,50,395,Back
2026-01-19,Bench Press,3,10,67.5,45,335,Chest
2026-01-19,Overhead Press,3,8,42.5,45,335,Shoulders
2026-01-22,Squat,4,8,87.5,55,410,Legs
2026-01-22,Romanian Deadlift,3,10,70.0,55,410,Legs
2026-01-24,Deadlift,3,5,110.0,55,405,Back
2026-01-24,Bent Over Row,3,10,62.5,55,405,Back
2026-01-26,Bench Press,4,10,70.0,50,345,Chest
2026-01-26,Incline Bench Press,3,10,55.0,50,345,Chest
2026-01-29,Squat,4,8,90.0,55,420,Legs
2026-01-29,Leg Press,4,12,130.0,55,420,Legs
2026-01-31,Deadlift,3,5,112.5,55,415,Back
2026-02-02,Bench Press,4,10,72.5,50,350,Chest
2026-02-02,Pull Up,4,8,0.0,50,350,Back
2026-02-05,Squat,4,8,92.5,55,425,Legs
2026-02-05,Overhead Press,3,8,45.0,50,380,Shoulders
2026-02-07,Deadlift,3,5,115.0,55,420,Back
2026-02-07,Bent Over Row,3,10,65.0,55,420,Back
